,O2,O1,rel
0,http://snomed.info/id/80622005,http://purl.org/sig/ont/fma/fma5865,1
1,http://snomed.info/id/15119000,http://purl.org/sig/ont/fma/fma61284,1
2,http://snomed.info/id/15119000,http://purl.org/sig/ont/fma/fma63819,1
3,http://snomed.info/id/37783008,http://purl.org/sig/ont/fma/fma16588,1
4,http://snomed.info/id/61352006,http://purl.org/sig/ont/fma/fma25624,1
5,http://snomed.info/id/8598002,http://purl.org/sig/ont/fma/fma5865,1
6,http://snomed.info/id/31934006,http://purl.org/sig/ont/fma/fma13451,1
7,http://snomed.info/id/55940004,http://purl.org/sig/ont/fma/fma9609,1
8,http://snomed.info/id/23043003,http://purl.org/sig/ont/fma/fma64989,1
9,http://snomed.info/id/68594002,http://purl.org/sig/ont/fma/fma61109,1
10,http://snomed.info/id/23451007,http://purl.org/sig/ont/fma/fma70779,1
11,http://snomed.info/id/23451007,http://purl.org/sig/ont/fma/fma55663,1
12,http://snomed.info/id/38254008,http://purl.org/sig/ont/fma/fma61108,1
13,http://snomed.info/id/4958002,http://purl.org/sig/ont/fma/fma62514,1
14,http://snomed.info/id/31636006,http://purl.org/sig/ont/fma/fma58071,1
15,http://snomed.info/id/32259006,http://purl.org/sig/ont/fma/fma86144,1
16,http://snomed.info/id/53505006,http://purl.org/sig/ont/fma/fma3724,1
17,http://snomed.info/id/15825003,http://purl.org/sig/ont/fma/fma49918,1
18,http://snomed.info/id/261051005,http://purl.org/sig/ont/fma/fma49918,1
19,http://snomed.info/id/7832008,http://purl.org/sig/ont/fma/fma13087,1
20,http://snomed.info/id/57034009,http://purl.org/sig/ont/fma/fma68045,1
21,http://snomed.info/id/34202007,http://purl.org/sig/ont/fma/fma7110,1
22,http://snomed.info/id/66754008,http://purl.org/sig/ont/fma/fma55672,1
23,http://snomed.info/id/75042008,http://purl.org/sig/ont/fma/fma266091,1
24,http://snomed.info/id/41149000,http://purl.org/sig/ont/fma/fma83840,1
25,http://snomed.info/id/41149000,http://purl.org/sig/ont/fma/fma258762,1
26,http://snomed.info/id/371195002,http://purl.org/sig/ont/fma/fma23880,1
27,http://snomed.info/id/51114001,http://purl.org/sig/ont/fma/fma78562,1
28,http://snomed.info/id/51114001,http://purl.org/sig/ont/fma/fma86187,1
29,http://snomed.info/id/28225005,http://purl.org/sig/ont/fma/fma86187,1
30,http://snomed.info/id/77578007,http://purl.org/sig/ont/fma/fma55108,1
31,http://snomed.info/id/54247002,http://purl.org/sig/ont/fma/fma68045,1
32,http://snomed.info/id/14806007,http://purl.org/sig/ont/fma/fma9915,1
33,http://snomed.info/id/181818007,http://purl.org/sig/ont/fma/fma9915,1
34,http://snomed.info/id/25943004,http://purl.org/sig/ont/fma/fma321959,1
35,http://snomed.info/id/35112002,http://purl.org/sig/ont/fma/fma323931,1
