,O1,O2,rel
0,http://snomed.info/id/386922000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C2082,1
1,http://snomed.info/id/108821000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C2082,1
2,http://snomed.info/id/373489001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C26017,1
3,http://snomed.info/id/80994002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C93038,1
4,http://snomed.info/id/413355004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C93038,1
5,http://snomed.info/id/386029006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C687,1
6,http://snomed.info/id/259470008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C687,1
7,http://snomed.info/id/395904008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C80483,1
8,http://snomed.info/id/360246003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C78311,1
9,http://snomed.info/id/59882007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C78311,1
10,http://snomed.info/id/372815001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C29576,1
11,http://snomed.info/id/68088000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C29576,1
12,http://snomed.info/id/79356008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C263,1
13,http://snomed.info/id/387457003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C263,1
14,http://snomed.info/id/96218000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C66883,1
15,http://snomed.info/id/412076009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C66883,1
16,http://snomed.info/id/90332006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C2356,1
17,http://snomed.info/id/387517004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C2356,1
18,http://snomed.info/id/50507004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C45678,1
19,http://snomed.info/id/54526002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C1947,1
20,http://snomed.info/id/372709008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C448,1
21,http://snomed.info/id/33664007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C29577,1
22,http://snomed.info/id/387210001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C97936,1
23,http://snomed.info/id/39064002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C97936,1
24,http://snomed.info/id/333511003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C45678,1
25,http://snomed.info/id/4370008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C45678,1
26,http://snomed.info/id/771384007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C471,1
27,http://snomed.info/id/77731008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C275,1
28,http://snomed.info/id/387440002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C74536,1
29,http://snomed.info/id/259446009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C1505,1
30,http://snomed.info/id/96296002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C47793,1
31,http://snomed.info/id/43360005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C221,1
32,http://snomed.info/id/32519007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C45678,1
33,http://snomed.info/id/398628008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C45678,1
34,http://snomed.info/id/41193000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C1556,1
35,http://snomed.info/id/372729009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C1556,1
36,http://snomed.info/id/21394008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl+ACM-C29698,1
